"","OCC_TITLE","TOT_EMP","H_MEAN","A_MEAN"
"1","Computer and Information Research Scientists",170130,60.1320987654321,125075.555555556
"2","Computer Hardware Engineers",337660,55.1233980582524,114656.116504854
"3","Medical Scientists",815620,49.6598591549296,103291.549295775
"4","Mathematicians",14470,48.9016666666667,101713.75
"5","Software and Web Developers, Programmers, and Testers",9359690,45.6125613079019,94873.4877384196
"6","Computer and Information Analysts",3811550,44.8033027522936,93190.3363914373
"7","Database and Network Administrators and Architects",3424460,43.1716879795396,89795.7289002558
"8","Statisticians",219630,43.1216393442623,89692.4590163934
"9","Operations Research Analysts",513730,41.6080829015544,86544.1450777202
"10","Computer Support Specialists",4504260,27.7722004889976,57765.5256723716
